Mound_ID,Mound_Shape,Mound_Shape_XLS,Marker,Soil_Sand_Percentage,Soil_Clay_Percentage,Soil_Clay_to_Soil_Ratio,Mound_Sand_Percent,Mound_Clay_Percent,Mound_Clay_to_Soil_Ratio,Mean_Annual_RainFall,Wettest_Quarter_RainFall,Annual_Quarter_RainFall_Ratio,Mean_Annual_Temperature,Coldest_Month_Temperature,Warmest_Month_Temperature,Köppen_Class
17,Cone,Cone,,51,33,0.65,,, ,1050,727,0.69,25.5,13.9,36.6,Aw
18,Cone,Cone,,15,57,3.80,,, ,2430,1356,0.56,27,20.8,33.7,Am
19,Cone,Cone,*,75,16,0.21,,, ,500,253,0.51,23,9.2,33.1,BSh
20,Dome,Dome,,45,36,0.80,,, ,850,560,0.66,17.9,5.5,28.2,Cwb
21,Cone,Cone,*,42,37,0.88,,, ,500,253,0.51,22.9,9.2,33.1,BSh
22A,Cone,Cone,,71,20,0.28,,, ,1100,763,0.69,25.8,15,35.1,Aw
22B,Meridian,Meridian,,71,20,0.28,,, ,1100,763,0.69,25.8,15,35.1,Aw
23,Dome,Dome,,56,33,0.59,,, ,940,676,0.72,26.7,14.4,37.1,Aw
24A,Cathedral,Cathedral,,44,21,0.48,,, ,1400,893,0.64,27.5,16.3,36.8,Aw
24B,Meridian,Meridian,,44,21,0.48,,, ,1400,893,0.64,27.5,16.3,36.8,Aw
25,Dome,Dome,,34,62,1.82,,, ,2479,836,0.34,26.7,22.4,32.7,Am
26,Mushroom,Mushroom,,41,32,0.78,,, ,926,628,0.68,29.5,18.5,37.7,Aw
27,Cathedral,Cathedral,,45,20,0.44,,, ,1900,1290,0.68,30,9.3,35.8,Csc
28,Dome,Dome,,32,44,1.38,,, ,1800,681,0.38,19,10.2,27.2,Af
29,Cone,Cone,,32,44,1.38,,, ,1800,681,0.38,19,10.2,27.2,Af
30,Dome,Dome,,32,44,1.38,,, ,1800,681,0.38,22,10.2,27.2,Af
31,Dome,Dome,,59,28,0.47,,, ,1000,257,0.26,8.9,-2.7,23.6,Cfb
32,Cathedral,Cathedral,,35,45,1.29,,, ,1200,447,0.37,23.3,16.6,32,Aw
33,Dome,Dome,,35,45,1.29,,, ,1200,447,0.37,23.3,16.6,32,Aw
34,Cone,Cone,,35,45,1.29,,, ,1200,447,0.37,23.3,16.6,32,Aw
35A,Mushroom,Mushroom,,, ,,, ,,,,,,,,
35B,Mushroom,Mushroom,,, ,,, ,,,,,,,,
36,Cone,Cone,,60,30,0.50,,, ,730,519,0.71,21.8,9,33.3,Csc
37,Dome,Dome/Cone/Irregular,,39,34,0.87,,, ,1080,737,0.68,27.9,16.2,40.5,Aw
38,Cathedral,Cathedral/Dome,,39,34,0.87,,, ,1080,737,0.68,27.9,16.2,40.5,Aw
39,Cone,Cone,,40,36,0.90,,, ,2370,773,0.33,27,21.8,32.5,Af
40,Cone,Cone,,4,18,4.50,,, ,1150,392,0.34,21.8,9.1,34.4,Cfa
41,Dome,Dome,,56,29,0.52,,, ,2080,946,0.45,26.1,19.8,32.1,Aw
42,Dome,Dome,,38,47,1.24,,, ,1150,784,0.68,26.5,16.6,38.2,Aw
43,Dome,Dome,,33,39,1.18,23,48,2.09,1270,623,0.49,20,17.2,29,Am
44,Mushroom,Mushroom,,56,28,0.50,,,,1109,854,0.77,27.1,13.3,38.8,Aw
45,Mushroom,Mushroom,,25,50,2.00,16,48,3,1360,609,0.45,23.7,17,30.3,Aw
46,Dome,Dome,,71,20,0.28,,, ,1700,1120,0.66,27.4,18.1,33.9,Aw
47,Dome,Dome,,36,28,0.78,,, ,2340,1463,0.63,27.3,17.8,36.7,Am
48,Cone,Cone,,65,21,0.32,,,,354,202,0.57,20.2,8.1,34.5,BSh
49,Dome,Dome,,69,15,0.22,,,,274,90,0.33,17.3,6.9,27.9,BSk
50,Cone,Cone,,40,25,0.63,,,,1231,511,0.42,18.1,5.1,29.1,Cfa
51,Meridian,Meridian,,59,28,0.47,,,,1402,904,0.64,27.1,16,35.4,Aw
52,Cone,Cone,,46,25,0.54,,,,387,251,0.65,25.4,9.6,37.9,BWh
53,Cone,Cone,,71,20,0.28,,,,1505,966,0.64,27.3,17.3,34.4,Aw
54,Dome,Dome,,36,42,1.17,,,,1111,730,0.66,24.1,13.2,31.7,Aw
55,Cone,Cone,,73,9,0.12,,,,383,235,0.61,26.2,10,39.1,BWh
56,Dome,Dome,,73,9,0.12,,,,383,235,0.61,26.2,10,39.1,BWh
57,Cone,Cone,,53,34,0.64,,,,974,544,0.56,16.7,6.3,31.8,Csa
58,Cathedral,Cathedral,,38,39,1.03,,,,784,431,0.55,23.6,14.4,33.9,Aw
59,Meridian,Meridian,,44,21,0.48,,,,1231,822,0.67,27.1,17.7,33.9,Aw
60,Meridian,Meridian,,89,7,0.08,,,,1237,822,0.66,26.9,17.7,33.6,Aw
61,Meridian,Meridian,,54,33,0.61,,,,1274,887,0.70,24,15.4,32.2,Aw
62,Meridian,Meridian,,63,29,0.46,,,,1159,814,0.70,25.8,14.8,35,Aw
63,Meridian,Meridian,,65,26,0.40,,,,1559,1007,0.65,27.4,17.5,34.6,Aw
64,Mushroom,Mushroom,,41,44,1.07,,,,2673,1142,0.43,25.3,20.9,30.3,Af
65,Mushroom,Mushroom,,44,44,1.00,,,,1633,670,0.41,23,17.5,21.4,Aw
66,Mushroom,Mushroom,,39,45,1.15,,,,1927,831,0.43,24.3,18.9,30.5,Aw
